<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20190801,000000,234.5400000,237.3400000,233.2900000,234.2800000,31.214.130
GAZP,D,20190802,000000,231.2000000,233.1700000,227.9100000,227.9100000,59.088.400
GAZP,D,20190805,000000,225.9800000,228.0000000,222.3000000,223.6100000,53.274.790
GAZP,D,20190806,000000,223.6200000,227.7800000,223.6200000,226.7600000,30.408.050
GAZP,D,20190807,000000,226.9200000,232.6700000,225.5000000,227.6700000,49.674.350
GAZP,D,20190808,000000,230.5600000,233.5400000,230.4300000,231.2100000,29.462.320
GAZP,D,20190809,000000,231.4500000,232.2600000,228.9100000,229.9600000,18.511.340
GAZP,D,20190812,000000,231.0100000,232.9700000,229.2900000,230.2400000,15.899.440
GAZP,D,20190813,000000,229.8100000,232.1600000,226.4600000,229.8700000,35.141.330
GAZP,D,20190814,000000,231.1000000,231.1900000,224.5800000,227.1000000,35.810.650
GAZP,D,20190815,000000,227.6500000,229.7000000,224.8900000,227.1500000,32.261.660
GAZP,D,20190816,000000,228.3500000,229.3800000,224.0800000,224.7100000,25.088.600
GAZP,D,20190819,000000,226.0000000,227.2000000,223.6500000,226.8000000,19.071.590
GAZP,D,20190820,000000,226.7900000,232.3200000,226.1500000,231.5400000,34.614.850
GAZP,D,20190821,000000,231.7200000,232.3200000,230.5000000,231.2200000,20.484.120
GAZP,D,20190822,000000,231.0000000,233.9800000,230.2100000,232.0600000,26.482.270
GAZP,D,20190823,000000,232.6800000,233.0400000,228.9300000,229.3500000,28.995.640
GAZP,D,20190826,000000,228.8000000,230.6000000,228.0500000,228.9000000,10.989.680
GAZP,D,20190827,000000,228.9200000,229.2800000,223.0000000,227.0000000,55.755.870
GAZP,D,20190828,000000,226.5200000,228.6400000,224.8800000,228.4800000,32.501.460
GAZP,D,20190829,000000,228.8700000,235.2500000,228.6700000,233.2000000,47.541.460
GAZP,D,20190830,000000,233.6700000,233.8500000,231.0700000,232.1500000,21.999.850
